title,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
143,6.930357686,1.147726585,0.8748411890000001,2.043092592,4.782411605,1.105676078,0.944526285,1.38526817,0.767325801,0.745520144,1.4738938560000001,0.417775655,0.225835261,2.093550903,0.210707547,0.549278283,0.06620169,2.657662131,6.535216773,0.165637908,1.370871798,0.35894226,1.692812771,0.25811043499999997,0.09703892900000001,0.37390196,0.858737364,35.059165698
16 Fever,1.134707889,0.32440088,1.329459186,2.375453587,2.4559012239999998,0.690306066,0.49408109299999997,0.47631060199999997,0.331154908,0.902980049,1.640348887,0.660468545,0.225039497,0.451195106,0.265881821,0.099790506,0.05438654,0.430988096,0.288698514,0.166009132,0.6686133169999999,0.10819211399999999,1.146595978,0.089275346,0.08508073399999999,0.47491528699999996,0.301535651,19.17221567
1st of tha Month,5.647574494,3.00012384,3.72950164,6.296871629,13.151096409,2.994047841,2.508448655,3.742888273,1.780897884,2.3102337889999998,3.142620838,1.745390876,0.69531347,3.481794832,0.739104345,0.645607838,0.185252219,3.705775289,2.412044363,0.511960748,3.166530752,0.633035691,4.8516747030000005,0.494197824,0.297234459,1.368042201,1.863532605,105.499309253
2 Killaz,0.696397931,0.47760583,4.329449413,5.447654562,2.878007363,0.969629655,1.286347144,1.544332857,0.446293347,2.210712047,2.60577962,2.300885783,0.706632069,0.484937678,0.916234425,0.146948394,0.150082449,0.421642465,0.140133597,0.469982375,0.878955566,0.145017646,1.641482707,0.135708678,0.40987471799999997,1.579688075,0.708734621,20.58471243
2 Minute Warning,1.037133193,0.439187596,4.311408273,4.824623888,2.739637428,0.875059641,1.18981491,1.383819872,0.468270675,1.8151936770000001,2.404553209,2.036654303,0.577846962,0.561733602,0.689347341,0.158661114,0.12537612,0.497610907,0.208437275,0.378938484,0.953270141,0.149391007,1.534397257,0.135936437,0.342991071,1.26408495,0.627115554,18.68453354
2 Of Amerikaz Most Wanted,3.317041511,1.942462879,8.742693779,10.216399305,6.281285341,2.068516854,1.997364736,2.563670444,1.092829097,3.590634789,4.607063439,4.028778484,1.172140549,1.597308073,1.34545108,0.490929672,0.262119706,1.837873439,1.337974521,0.776245685,2.093317338,0.380432021,3.293783021,0.328985122,0.632837352,2.36569757,1.547002228,46.666882115
2009 BET Hip Hop Awards - Cypher 3,3.189349415,1.61740882,1.633084288,3.361732528,5.4876416390000005,1.632105037,0.826565835,1.049004737,0.941154049,1.73196133,1.909442488,1.030171164,0.455796911,1.393981611,0.595629341,0.6175259240000001,0.124140963,1.428477669,0.873586161,0.360589559,1.9796943040000001,0.304341768,2.340007114,0.256476301,0.25280904,1.186750809,0.9108511340000001,33.83283979
2012 It Aint the End,2.685631753,1.3992549029999999,1.176042413,3.0841938570000003,7.222627729,1.951226271,0.888855359,0.865953808,1.1001184099999999,1.797854487,3.478715401,0.7634615020000001,0.404886946,1.742818792,0.514448676,0.274747338,0.12370097299999999,1.820106874,0.605905574,0.34782067299999997,2.341152473,0.347165978,2.972545442,0.290119569,0.208530888,1.073847626,0.918439698,40.83407771
21 Questions,8.779179468,1.262940737,1.22968861,2.355363114,4.805000203,1.43411847,6.520108809,13.729522131,1.231757034,1.240878347,1.538482795,0.720630302,0.462411935,3.260339966,0.438511714,1.731542469,0.152462312,3.240127384,5.149116116,0.33278388999999997,2.261875614,0.536860804,2.192786628,0.477255636,0.237972789,0.713254081,3.35842639,18.255559983
22 Twos,2.096557526,0.764388261,4.9882531199999995,5.568961907,3.914963329,1.2239470190000001,3.6123887470000002,5.742088278,0.689255698,1.968489817,2.783157747,2.287299382,0.684038612,1.075615581,0.716511324,2.055300486,0.151118479,1.112646097,0.6590965480000001,0.433749399,1.368023152,0.243697595,2.021572669,0.217998458,0.332325371,1.19128352,1.118355556,24.301991793
24 Hours to Live,2.678639784,1.139771734,7.173177405,8.478804267,7.212732105,2.373614392,5.388924881,8.491229773,1.239507931,3.246944879,3.924909293,3.412464403,1.068506244,1.528027027,1.229528437,0.584047134,0.250037114,1.611741182,0.8533298500000001,0.706630056,2.705912006,0.40017342499999997,3.477504788,0.365307958,0.625692747,2.330430951,1.663131643,42.313356046
25 to Life,2.26024824,2.156982621,5.403764731,7.937940896,5.14086128,2.234657317,2.410152219,2.513459312,0.993540991,4.535317615,6.036595221,3.276760809,1.300121394,0.992063746,1.798648686,1.039811732,0.325797704,1.166118049,0.578864434,0.944663748,2.25494079,0.342502529,3.236201272,0.34437304,1.31043276,4.02082315,1.549763529,23.583157389
3 Peat,1.686772891,1.360346749,4.917741514,5.742680342,4.830687309,1.54209271,0.92811931,0.935176891,0.777267965,2.2051121,2.91779478,2.346136259,0.700937518,0.93782647,0.846496933,0.317258556,0.17202863,1.046004783,0.363186915,0.488402125,1.725992886,0.2586371,2.105662483,0.232474523,0.3970496,1.542294674,0.756950964,22.087906775
3 a.m.,1.7259302029999999,2.267900045,3.465160284,6.42804053,5.488256394,1.583954891,4.166175179,4.626423255,0.952281832,3.273315077,4.300514521,2.129204797,0.94539264,1.465841274,1.181258079,0.21510527,0.216691768,1.518567936,0.5704884689999999,0.669390691,1.673612012,0.287720429,3.670201804,0.265929357,0.5245993,2.246772542,1.869214877,50.147088184
